img_path,label
EPL_Players_Preprocessed_224x224_60/Ryan_Gravenberch/original_22.jpg,Ryan_Gravenberch
EPL_Players_Preprocessed_224x224_60/James_Maddison/original_47.jpg,James_Maddison
EPL_Players_Preprocessed_224x224_60/Kobbie_Mainoo/original_32.jpg,Kobbie_Mainoo
EPL_Players_Preprocessed_224x224_60/Phil_Foden/original_44.jpg,Phil_Foden
EPL_Players_Preprocessed_224x224_60/Bukayo_Saka/original_36.jpg,Bukayo_Saka
EPL_Players_Preprocessed_224x224_60/Virgil_Van_Dijk/original_27.jpg,Virgil_Van_Dijk
EPL_Players_Preprocessed_224x224_60/Gabriel_Martinelli/augmented_18.jpg,Gabriel_Martinelli
EPL_Players_Preprocessed_224x224_60/Mykhailo_Mudryk/original_17.jpg,Mykhailo_Mudryk
EPL_Players_Preprocessed_224x224_60/Ilkay_Gundogan/original_37.jpg,Ilkay_Gundogan
EPL_Players_Preprocessed_224x224_60/Curtis_Jones/augmented_16.jpg,Curtis_Jones
EPL_Players_Preprocessed_224x224_60/Matheus_Nunes/original_42.jpg,Matheus_Nunes
EPL_Players_Preprocessed_224x224_60/Dominic_Solanke/original_28.jpg,Dominic_Solanke
EPL_Players_Preprocessed_224x224_60/Jack_Grealish/original_4.jpg,Jack_Grealish
EPL_Players_Preprocessed_224x224_60/Bruno_Fernandes/augmented_1.jpg,Bruno_Fernandes
EPL_Players_Preprocessed_224x224_60/Timo_Werner/original_28.jpg,Timo_Werner
EPL_Players_Preprocessed_224x224_60/Erling_Haaland/original_15.jpg,Erling_Haaland
EPL_Players_Preprocessed_224x224_60/Dejan_Kulusevski/original_14.jpg,Dejan_Kulusevski
EPL_Players_Preprocessed_224x224_60/Ben_Davies/original_27.jpg,Ben_Davies
EPL_Players_Preprocessed_224x224_60/Mateo_Kovacic/augmented_0.jpg,Mateo_Kovacic
EPL_Players_Preprocessed_224x224_60/Luis_Diaz/original_40.jpg,Luis_Diaz
EPL_Players_Preprocessed_224x224_60/Marcus_Rashford/original_46.jpg,Marcus_Rashford
EPL_Players_Preprocessed_224x224_60/Timo_Werner/original_7.jpg,Timo_Werner
EPL_Players_Preprocessed_224x224_60/Timo_Werner/augmented_20.jpg,Timo_Werner
EPL_Players_Preprocessed_224x224_60/Ryan_Gravenberch/original_14.jpg,Ryan_Gravenberch
EPL_Players_Preprocessed_224x224_60/Dominik_Szoboszlai/original_47.jpg,Dominik_Szoboszlai
EPL_Players_Preprocessed_224x224_60/Cristian_Romero/original_27.jpg,Cristian_Romero
EPL_Players_Preprocessed_224x224_60/Ben_Chilwell/augmented_10.jpg,Ben_Chilwell
EPL_Players_Preprocessed_224x224_60/Jeremy_Doku/original_9.jpg,Jeremy_Doku
EPL_Players_Preprocessed_224x224_60/Jack_Grealish/augmented_5.jpg,Jack_Grealish
EPL_Players_Preprocessed_224x224_60/Andy_Robertson/original_31.jpg,Andy_Robertson
EPL_Players_Preprocessed_224x224_60/Diogo_Dalot/original_1.jpg,Diogo_Dalot
EPL_Players_Preprocessed_224x224_60/Timo_Werner/original_4.jpg,Timo_Werner
EPL_Players_Preprocessed_224x224_60/Kobbie_Mainoo/augmented_7.jpg,Kobbie_Mainoo
EPL_Players_Preprocessed_224x224_60/Jeremy_Doku/original_12.jpg,Jeremy_Doku
EPL_Players_Preprocessed_224x224_60/Ederson/original_17.jpg,Ederson
EPL_Players_Preprocessed_224x224_60/Rasmus_Hojlund/original_2.jpg,Rasmus_Hojlund
EPL_Players_Preprocessed_224x224_60/Casemiro/augmented_0.jpg,Casemiro
EPL_Players_Preprocessed_224x224_60/Mateo_Kovacic/original_15.jpg,Mateo_Kovacic
EPL_Players_Preprocessed_224x224_60/Kai_Havertz/augmented_7.jpg,Kai_Havertz
EPL_Players_Preprocessed_224x224_60/Jadon_Sancho/augmented_0.jpg,Jadon_Sancho
EPL_Players_Preprocessed_224x224_60/Ryan_Gravenberch/original_34.jpg,Ryan_Gravenberch
EPL_Players_Preprocessed_224x224_60/Kai_Havertz/original_15.jpg,Kai_Havertz
EPL_Players_Preprocessed_224x224_60/Victor_Lindelof/augmented_9.jpg,Victor_Lindelof
EPL_Players_Preprocessed_224x224_60/Manuel_Ugarte/original_0.jpg,Manuel_Ugarte
EPL_Players_Preprocessed_224x224_60/Bernardo_Silva/original_34.jpg,Bernardo_Silva
